HSN,NAME,GST,,,,,
0101.00.00,"Horses, asses, mules and hinnies, live",0,,,,,
0101.11.00,Purebred breeding animals,0,,,,,
0101.19.00,Other horses,0, ,,,,
0101.20.00,"Asses, mules, and hinnies",0,,,,,
0101.21.00,Live Horses,12,,,,,
0101.29.00,Live Horses,12,,,,,
0102.00.00,"Bovine animals, live",0,,,,,
0102.10.00,Purebred breeding animals,0,,,,,
0103.00.00,"Swine, live",0,,,,,
0103.10.00,Purebred breeding animals,0,,,,,
0103.91.00,Weighing less than 50 (11023 lb) each,0,,,,,
0103.92.00,Weighing 50 (11023 lb) or more each,0,,,,,
0104.00.00,"Sheep and goats, live",0,,,,,
0104.10.00,Sheep,0,,,,,
0104.20.00,Goats,0,,,,,
0105.00.00,"Chickens, ducks, geese, turkeys, and guineas, live",0,,,,,
0105.11.00,"Chickens, breeding stock, whether or not purebred: layer-type (egg-type) , broiler-type (meat-type)",0,,,,,
0105.19.00,"Turkeys, ducks, geese and guineas",0,,,,,
0105.91.00,Chickens,0,,,,,
0105.99.00,"Chickens, ducks, geese, turkeys, and guineas, live: Other",0,,,,,
0106.00.00,"Animals, live, nesoi nesoi - not elsewhere specified of indicated.",0,,,,,
0106.00.00,Rabbits and hares,0,,,,,
0201.00.00,"Meat of bovine animals, fresh or chilled",0,,,,,
0201.00.00,"Meat of bovine animals,frozen",12,,,,,
0201.10.00,"Carcasses and half-carcasses, veal, other - chilled or fresh",0,,,,,
0201.10.00,"Carcasses and half-carcasses, veal, other - frozen",12,,,,,
0201.20.00,Other cuts with bone in: processed & other - chilled or fresh,0,,,,,
0201.20.00,Other cuts with bone in: processed & other - frozen,12,,,,,
0201.30.00,Boneless: processed & other chilled or fresh,0,,,,,
0201.30.00,Boneless: processed & other forzen,12,,,,,
0202.00.00,"Meat of bovine animals, frozen",12,,,,,
0202.10.00,"Carcasses and half-carcasses, veal & other",12,,,,,
0202.20.00,Meat of bovine animals with bone in (frozen),12,,,,,
0202.30.00,"Boneless, processed frozen",12,,,,,
0203.00.00,"Meat of swine (pork), fresh, chilled ",0,,,,,
0203.00.00,"Meat of swine (pork), frozen",12,,,,,
0203.11.00,Carcasses and half-carcasses - fresh or chilled,0,,,,,
0203.12.00,"Hams, shoulders and cuts thereof, with bone in processed - fresh or chilled",0,,,,,
0203.19.00,"Other, proces & other - fresh or chilled",0,,,,,
0203.21.00,Carcasses and half-carcasses - frozen,12,,,,,
0203.22.00,"Hams, shoulders and cuts thereof, with bone in processed - frozen",12,,,,,
0203.29.00,"Other, processed & other",12,,,,,
0204.00.00,"Meat of sheep or goats, fresh, chilled or frozen",12,,,,,
0204.10.00,"Carcasses and half-carcasses of lamb, fresh or chilled other meat of sheep, fresh or chilled",0,,,,,
0204.21.00,Carcasses and half-carcasses fresh or chilled,0,,,,,
0204.22.00,Other cuts with bone in - fresh or chilled,0,,,,,
0204.23.00,Boneless - fresh or chilled,0,,,,,
0204.30.00,"Carcasses and half-carcasses of lamb, frozen other meat of sheep, frozen",12,,,,,
0204.41.00,Carcasses and half-carcasses - frozen,12,,,,,
0204.42.00,Other cuts with bone in - frozen,12,,,,,
0204.43.00,Boneless - frozen,12,,,,,
0204.50.00,Meat of goats - frozen,12,,,,,
0205.00.00,"Meat of horses, asses, mules, hinnies - fresh and chilled",0,,,,,
0205.00.00,"Meat of horses, asses, mules, hinnies - frozen",12,,,,,
0206.00.00 �,"Edible offal, bovine animals, swine, sheep, goat, horses, asses, mules or hinnies - fresh and chilled",0,,,,,
0206.00.00 �,"Edible offal, bovine animals, swine, sheep, goat, horses, asses, mules or hinnies - frozen",12,,,,,
0206.10.00,"Ediblke offal of bovine animals, fresh or chilled of bovine animals - fresh and chilled",0,,,,,
0206.21.00,Tongues - fresh or chilled,0,,,,,
0206.22.00,Livers - fresh and chilled,0,,,,,
0206.29.00,Other edible offal of bovine animals  fresh or chilled,0,,,,,
0206.30.00,"Of swine (pork), fresh or chilled of swine (pork), fresh and chilled",0,,,,,
0206.41.00,Edible offal of swine Livers - frozen,12,,,,,
0206.49.00,Other edible offal of swine (frozen),12,,,,,
0206.80.10,"Edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - fresh and chilled",0,,,,,
0206.80.90,"Other, edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - fresh and chilled",0,,,,,
0206.90.10,"Edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - frozen",12,,,,,
0206.90.90,"Other, edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - frozen ",12,,,,,
0207.00.00,"Meat & edible offal of poultry, fresh and chilled ",0,,,,,
0207.00.00,"Meat & edible offal of poultry, frozen",12,,,,,
0207.11.00,"Turkeys other: chickens young (broilers, fryers, roasters, and capons) ducks, geese and guineas poultry not cut in pieces, fresh and chilled: chickens: young (broilers, fryers, roasters, and capons)",0,,,,,
0207.12.00,"Meat & edible offal of poultry, fresh & chilled of fowls not cut in pieces",0,,,,,
0207.14.00,"Meat & edible offal of poultry, fresh or chilled of fowls cuts and offal",0,,,,,
0207.22.00 �,Turkeys fresh & chilled ,0,,,,,
0207.24.00,Turkeys not cut in pieces fresh & chilled ,0,,,,,
0207.25.00,Turkeys not cut in pieces frozen,12,,,,,
0207.26.00,Turkeys cut in pieces fresh & chilled ,0,,,,,
0207.27.00,Turkeys cut in pieces frozen,12,,,,,
0207.30.00,"Meat & edible offal of ducks, geese or guinea fowls fresh or chilled",0,,,,,
0207.31.00,"Meat & edible offal of ducks, geese or guinea fowls frozen",12,,,,,
0207.32.00,"Meat & edible offal of ducks, geese or guinea fowls - not cut in pieces fresh or chilled",0,,,,,
0207.33.00,"Meat & edible offal of ducks, geese or guinea fowls - not cut in pieces -frozen",12,,,,,
0207.34.00,Fatty livers of geese or ducks fresh or chilled,0,,,,,
0207.36.00,Fatty livers of geese or ducks frozen,12,,,,,
0207.35.00,"Other, Fatty livers of geese or ducks - fresh or chilled",0,,,,,
0207.39.00,"Chickens, turkeys, ducks, geese or guineas poultry cuts and offal other than livers, frozen:",12,,,,,
0208.00.00,"Other meat & edible meat offal , fresh, chilled ",0,,,,,
0208.00.00,"Other meat & edible meat offal ,frozen",12,,,,,
0208.10.00,Edible offal of Rabbits or hares - fresh or chilled,0,,,,,
0208.10.00,Edible offal of Rabbits or hares - frozen,12,,,,,
0208.20.00,Edible offal of Frogs' legs - fresh or chilled,0,,,,,
0208.20.00,Edible offal of Frogs' legs - frozen,12,,,,,
0208.30.00,Edible offal of Primates - fresh or chilled,0,,,,,
0208.30.00,Edible offal of Primates - frozen,12,,,,,
0208.40.00,"Edible offal of Whales, dolphins and porpoises; of manatees and dugongs - fresh or chilled",0,,,,,
0208.40.00,"Edible offal of Whales, dolphins and porpoises; of manatees and dugongs - frozen",12,,,,,
0208.50.00,Edible offal of Reptiles (including snakes and turtles) - fresh or chilled,0,,,,,
0208.50.00,Edible offal of Reptiles (including snakes and turtles) - frozen,12,,,,,
0208.90.00,"Other meat and edible offal (fresh, chilled)",0,,,,,
0208.90.00,Other meat and edible offal (frozen),12,,,,,
0208.90.10,Wild animals,0,,,,,
0208.90.90,"Other meat and edible offal (fresh, chilled): other",0,,,,,
0208.90.90,Other meat and edible offal (frozen): other,12,,,,,
0209.00.00,"Pig fat free of lean meat and poultry fat (not rendered),fresh, chilled",0,,,,,
0209.00.00,"Pig fat free of lean meat and poultry fat (not rendered)salted, in brine, dried or smoked (Frozen)",12,,,,,
0210.00.00,"Meat & ed offal salted, dried etc. & flour & meal",12,,,,,
0210.11.00,"Hams, shoulders and cuts thereof, with bone in",12,,,,,
0210.12.00,Bellies (streaky) and cuts thereof: bacon other,12,,,,,
0210.19.00,"Other meat of swine (salted, in brine, dried, smoked)",12,,,,,
0210.20.00,Meat of bovine animals,12,,,,,
0210.90.00,"Other, including edible flours and meals of meat or meat offal",12,,,,,
0301.00.00,Live Fish,0,,,,,
0301.10.00,Ornamental fish,0,,,,,
0301.91.00,"Trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",0,,,,,
0301.92.00 �,Eels (anguilla spp),0,,,,,
0301.93.00,Carp,0,,,,,
0301.94.00,Bluefin tunas (Thunnus thynnus),0,,,,,
0301.95.00,Southern bluefin tunas (Thunnus thynnus),0,,,,,
0301.99.00,Other live fish,0,,,,,
0302.00.00 �,"Fish, fresh or chilled (excluding fish fillets and other fish meat)",0,,,,,
0302.11.00,"Trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae): rainbow trout (salmo gairdneri), farmed",0,,,,,
0302.12.00,"Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon (hucho) atlantic: farmed , not farmed , chinook (king), chum (dog) , pink (humpie),sockeye (red), coho (silver)",0,,,,,
0302.19.00,"Flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae), excluding livers and roes:",0,,,,,
0302.21.00,"Halibut and greenland turbot (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis)",0,,,,,
0302.22.00,Plaice (pleuronectes platessa),0,,,,,
0302.23.00,Sole (solea spp),0,,,,,
0302.29.00,"Tunas (of genus thunnus), skipjack or stripe-bellied bonito (euthynnus (katsuwonus, pelamis), excluding livers and roes:",0,,,,,
0302.31.00 �,Albacore or longfinned tunas (thunnus alalunga),0,,,,,
0302.32.00,Yellowfin tunas (thunnus albacares),0,,,,,
0302.33.00,Skipjack or stripe-bellied bonito,0,,,,,
0302.39.00,Bluefin (thunnus thynnus),0,,,,,
0302.40.00,"Herrings (clupea harengus, clupea pallasii), excluding livers and roes",0,,,,,
0302.50.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus), excluding livers and roes other fish, excluding livers and roes:",0,,,,,
0302.61.00,"Sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats(sprattus sprattus)",0,,,,,
0302.62.00,Haddock (melanogrammus aeglefinus),0,,,,,
0302.63.00,Atlantic pollock (coalfish) (pollachius virens),0,,,,,
